food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,calculated_tags
Avocado Toast (1 slice),Meal/Vegetarian,260.0,7.0,28.0,15.0,10.0,1.0,350.0,0.0,Breakfast,500.0,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood', 'processed']",,,,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'processed']"
Hard-Boiled Egg (1 large),Protein,78.0,6.3,0.6,5.3,0.0,0.5,62.0,187.0,Snack,0.0,"['highProtein', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Chicken Wrap (with tortilla),Meal/Processed,410.0,25.0,38.0,17.0,5.0,3.0,780.0,60.0,Lunch,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Grapes (1 cup),Fruit,104.0,1.1,27.0,0.2,1.4,23.0,3.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Cottage Cheese (1/2 cup),Dairy,90.0,12.0,5.0,3.0,0.0,4.0,400.0,10.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Burger (cheeseburger),Meal/Processed,550.0,30.0,40.0,30.0,3.0,7.0,1100.0,90.0,Dinner,500.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'highCarb']"
French Fries (medium),Vegetable/Processed,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,Dinner,0.0,"['lowProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Protein Bar,Supplement/Processed,210.0,20.0,22.0,7.0,6.0,1.0,180.0,5.0,Snack,500.0,"['highProtein', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highFibre']"
Black Beans (1/2 cup),Legume,114.0,7.6,20.4,0.5,7.5,0.3,1.0,0.0,Lunch,0.0,"['gasForming', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['gasForming', 'gutFriendly', 'energyBoost', 'highFibre']"
Salsa (1/4 cup),Vegetable,20.0,0.8,4.5,0.1,1.0,3.0,250.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Chicken Noodle Soup (1 can),Meal/Processed,150.0,7.0,18.0,5.0,2.0,2.0,890.0,15.0,Lunch,250.0,"['highProtein', 'lowFibre']",,,,['lowFibre']
Peanut Butter (2 tbsp),Nut,190.0,7.0,8.0,16.0,2.0,3.0,140.0,0.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Celery Sticks (1 cup),Vegetable,14.0,0.6,3.0,0.2,1.4,1.2,77.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Cod (4oz baked),Protein/Fish,95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Green Beans (1 cup),Vegetable,31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,Dinner,0.0,"['gasForming', 'lowProtein', 'wholeFood', 'lowCarb']",,,,"['gasForming', 'lowProtein', 'lowCarb']"
Chocolate Chip Cookie (1 large),Dessert,220.0,2.5,30.0,11.0,1.5,19.0,160.0,20.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Shrimp (3oz steamed),Protein/Fish,84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine']"
Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Breakfast,250.0,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,Lunch,0.0,"['lowProtein', 'energyBoost', 'highCarb', 'high_glycemic']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'lowCarb']"
Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,Snack,0.0,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood', 'processed']",,,,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'processed']"
Pork Chop (4oz grilled),Protein/Meat,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']"
Mashed Potatoes (1 cup),Vegetable,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Corn (1 cup),Vegetable,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Soda (1 can Coke),Beverage,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,Snack,355.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Pretzels (1 oz),Grain/Processed,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,Snack,0.0,"['lowProtein', 'energyBoost', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'energyBoost', 'lowFibre']"
Cheddar Cheese (1 oz),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Snack,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Caesar Salad (with chicken),Meal/Protein,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,Lunch,250.0,"['highProtein', 'wholeFood']",,,,"['highProtein', 'wholeFood']"
Orange Juice (1 cup),Beverage,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,Breakfast,240.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Bacon (2 slices cooked),Protein/Meat,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,Breakfast,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Waffles (2 homemade),Grain,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,Breakfast,0.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Pear,Fruit,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Chicken Breast (4oz roasted),Protein/Meat,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,Lunch,500.0,"['lowCarb', 'highProtein', 'lowFibre', 'noAddedSugar']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Mixed Nuts (1/4 cup),Nut,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,Snack,0.0,"['wholeFood', 'lowCarb']",,,,['lowCarb']
Tilapia (4oz baked),Protein/Fish,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Asparagus (1 cup steamed),Vegetable,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'caffeine', 'lowCarb']",,,,"['lowProtein', 'caffeine', 'lowCarb']"
Sweet Potato (1 medium baked),Vegetable,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,Dinner,0.0,"['lowProtein', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost']"
Popcorn (3 cups air-popped),Grain,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,Snack,250.0,"['lowProtein', 'wholeFood']",,,,['lowProtein']
Raisins (1/4 cup),Fruit,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,Snack,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Macaroni & Cheese (1 cup),Meal/Pasta,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,Lunch,250.0,"['energyBoost', 'wholeFood', 'highCarb', 'lowFibre']",,,,"['energyBoost', 'highCarb', 'lowFibre']"
Tomato Soup (1 can),Meal/Vegetable,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,Lunch,0.0,"['lowProtein', 'highCarb', 'sugary', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'sugary', 'gutFriendly', 'energyBoost']"
Grilled Cheese Sandwich,Meal/Processed,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,Lunch,0.0,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['highProtein', 'energyBoost', 'wholeFood', 'highCarb']"
Beef Tacos (2 hard shell),Meal/Meat,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,Dinner,500.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'energyBoost']"
Refried Beans (1/2 cup),Legume,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,Dinner,0.0,"['gasForming', 'gutFriendly', 'wholeFood', 'highFibre']",,,,"['gasForming', 'gutFriendly', 'highFibre']"
Guacamole (1/4 cup),Vegetable/Condiment,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'lowCarb']"
Watermelon (1 cup diced),Fruit,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
English Muffin (whole wheat),Grain,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,Breakfast,250.0,"['gutFriendly', 'energyBoost', 'wholeFood', 'highCarb']",,,,"['gutFriendly', 'energyBoost', 'highCarb']"
Peanut Butter & Jelly Sandwich,Meal/Processed,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,Lunch,250.0,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Clam Chowder (1 cup),Meal/Seafood,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,Lunch,0.0,"['wholeFood', 'lowFibre']",,,,['lowFibre']
Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Snack,500.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'energyBoost']"
Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Dinner,250.0,"['highProtein', 'highCarb', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highProtein', 'energyBoost', 'gutFriendly', 'highCarb']"
Garlic Bread (1 slice),Grain,150.0,4.0,18.0,7.0,1.0,1.0,310.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'processed', 'lowFibre']"
Chocolate Milk (1 cup),Beverage/Dairy,200.0,8.0,26.0,8.0,1.0,24.0,160.0,30.0,Snack,0.0,"['highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['sugary', 'energyBoost', 'highCarb', 'lowFibre']"
White Bread (1 slice),Grain,70.0,2.0,13.0,1.0,0.6,1.2,140.0,0.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'processed', 'lowFibre']",,,,"['lowProtein', 'processed', 'lowFibre']"
Jelly (1 tbsp grape),Condiment,50.0,0.0,13.0,0.0,0.1,12.0,5.0,0.0,Breakfast,0.0,"['sugary', 'lowProtein', 'wholeFood', 'lowFibre']",,,,"['sugary', 'lowProtein', 'lowFibre']"
Veggie Burger (1 patty),Protein/Vegetarian,120.0,11.0,10.0,4.0,5.0,1.0,350.0,0.0,Lunch,250.0,"['highProtein', 'highFibre', 'lowCarb', 'gutFriendly', 'wholeFood']",,,,"['gutFriendly', 'highFibre', 'lowCarb']"
Bun (hamburger),Grain,140.0,4.0,26.0,2.0,1.0,4.0,260.0,0.0,Lunch,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Ketchup (1 tbsp),Condiment,20.0,0.2,5.0,0.1,0.2,4.0,160.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Muffin (Blueberry 1 large),Grain/Dessert,380.0,5.0,55.0,16.0,2.0,30.0,350.0,50.0,Breakfast,250.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Coffee (with cream/sugar),Beverage,50.0,0.5,5.0,3.0,0.0,4.5,10.0,10.0,Breakfast,250.0,"['lowProtein', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'caffeine', 'lowFibre', 'lowCarb']"
Potato Chips (1 oz),Snack/Processed,160.0,2.0,15.0,10.0,1.0,0.5,170.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre']",,,,"['lowProtein', 'lowFibre']"
Tzatziki Sauce (2 tbsp),Condiment/Dairy,30.0,1.5,2.0,2.0,0.0,1.5,100.0,5.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'energyBoost', 'highCarb', 'lowFibre']"
Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost', 'wholeFood']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'sugary', 'energyBoost']"
Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Breakfast,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowProtein', 'lowFibre', 'lowCarb']"
Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Breakfast,250.0,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood']",,,,"['highCarb', 'sugary', 'highFibre', 'gutFriendly', 'energyBoost']"
Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'lowCarb']",,,,"['lowFibre', 'lowCarb']"
Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,Lunch,0.0,"['lowProtein', 'energyBoost', 'highCarb', 'high_glycemic']",,,,"['lowProtein', 'energyBoost', 'highCarb']"
Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'lowCarb']",,,,"['lowProtein', 'lowCarb']"
Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb']"
Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,Snack,0.0,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'wholeFood', 'processed']",,,,"['highCarb', 'highFibre', 'gutFriendly', 'energyBoost', 'processed']"
