food_item,category,calories_kcal,protein_,carbohydrates_,fat_,fiber_,sugars_,sodium_(mg),cholesterol_(mg),meal_type,water_intake_(ml),impact_tags,image,timestamp,quantity,enhanced_tags
Orange,Fruit,62.0,1.2,15.4,0.2,3.1,12.0,0.0,0.0,Snack,0.0,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']",,,,"['sugary', 'lowProtein', 'wholeFood', 'pcosTrigger']"
Bagel (plain),Grain,270.0,11.0,55.0,1.5,2.0,5.0,430.0,0.0,Breakfast,250.0,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']"
Cream Cheese (2 tbsp),Dairy,100.0,2.0,2.0,10.0,0.0,1.0,90.0,30.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Tuna Salad (1/2 cup),Meal/Fish,190.0,19.0,2.0,12.0,1.0,1.0,400.0,30.0,Lunch,500.0,"['lowGlycemic', 'highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Crackers (5 whole wheat),Grain/Processed,90.0,2.0,14.0,3.0,2.0,0.0,180.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'glutenSensitive', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'glutenSensitive', 'pcosFriendly']"
Beef Steak (6oz sirloin),Protein/Meat,270.0,42.0,0.0,10.0,0.0,0.0,90.0,115.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']"
Baked Potato (medium),Vegetable,160.0,4.3,36.0,0.2,3.8,1.0,17.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'highGlycemic', 'wholeFood']"
Ice Cream (1/2 cup vanilla),Dairy/Dessert,145.0,2.5,17.0,7.5,0.5,16.0,55.0,30.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Pizza (1 slice pepperoni),Meal/Processed,290.0,12.0,34.0,12.0,2.0,4.0,720.0,35.0,Dinner,250.0,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'highCarb', 'lowFibre', 'pcosFriendly']"
Avocado Toast (1 slice),Meal/Vegetarian,260.0,7.0,28.0,15.0,10.0,1.0,350.0,0.0,Breakfast,500.0,"['noAddedSugar', 'highFibre', 'progesteroneSupporting', 'gutFriendly', 'wholeFood', 'processed', 'pcosFriendly']",,,,"['noAddedSugar', 'progesteroneSupporting', 'highFibre', 'gutFriendly', 'processed', 'pcosFriendly']"
Hard-Boiled Egg (1 large),Protein,78.0,6.3,0.6,5.3,0.0,0.5,62.0,187.0,Snack,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chicken Wrap (with tortilla),Meal/Processed,410.0,25.0,38.0,17.0,5.0,3.0,780.0,60.0,Lunch,250.0,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Grapes (1 cup),Fruit,104.0,1.1,27.0,0.2,1.4,23.0,3.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Cottage Cheese (1/2 cup),Dairy,90.0,12.0,5.0,3.0,0.0,4.0,400.0,10.0,Snack,0.0,"['lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Burger (cheeseburger),Meal/Processed,550.0,30.0,40.0,30.0,3.0,7.0,1100.0,90.0,Dinner,500.0,"['highProtein', 'highCarb', 'dairySensitive', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'dairySensitive', 'wholeFood', 'pcosFriendly']"
French Fries (medium),Vegetable/Processed,340.0,4.0,44.0,17.0,4.0,0.3,230.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Protein Bar,Supplement/Processed,210.0,20.0,22.0,7.0,6.0,1.0,180.0,5.0,Snack,500.0,"['highProtein', 'noAddedSugar', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Black Beans (1/2 cup),Legume,114.0,7.6,20.4,0.5,7.5,0.3,1.0,0.0,Lunch,0.0,"['noAddedSugar', 'gasForming', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'gasForming', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Salsa (1/4 cup),Vegetable,20.0,0.8,4.5,0.1,1.0,3.0,250.0,0.0,Lunch,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chicken Noodle Soup (1 can),Meal/Processed,150.0,7.0,18.0,5.0,2.0,2.0,890.0,15.0,Lunch,250.0,"['highProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'lowFibre', 'pcosFriendly']"
Peanut Butter (2 tbsp),Nut,190.0,7.0,8.0,16.0,2.0,3.0,140.0,0.0,Snack,0.0,"['lowFibre', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['wholeFood', 'pcosFriendly', 'lowFibre', 'lowCarb']"
Celery Sticks (1 cup),Vegetable,14.0,0.6,3.0,0.2,1.4,1.2,77.0,0.0,Snack,0.0,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Cod (4oz baked),Protein/Fish,95.0,20.0,0.0,0.8,0.0,0.0,95.0,55.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Green Beans (1 cup),Vegetable,31.0,1.8,7.0,0.2,2.7,3.3,6.0,0.0,Dinner,0.0,"['lowProtein', 'gasForming', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'gasForming', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Chocolate Chip Cookie (1 large),Dessert,220.0,2.5,30.0,11.0,1.5,19.0,160.0,20.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'chocolate', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'chocolate', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Shrimp (3oz steamed),Protein/Fish,84.0,20.0,0.2,0.2,0.0,0.0,100.0,161.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']"
Pancakes (2 medium),Grain,180.0,5.0,30.0,5.0,1.0,6.0,450.0,25.0,Breakfast,0.0,"['lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'highCarb', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Maple Syrup (2 tbsp),Condiment,104.0,0.0,27.0,0.0,0.0,24.0,2.0,0.0,Breakfast,0.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Sausage Link (1 cooked),Protein/Meat,85.0,5.0,1.0,7.0,0.0,0.5,300.0,20.0,Breakfast,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Smoothie (Fruit & Yogurt),Beverage/Meal,280.0,12.0,55.0,3.0,7.0,40.0,70.0,5.0,Breakfast,250.0,"['pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']",,,,"['pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']"
Tofu (4oz firm),Protein/Vegetarian,90.0,10.0,3.0,5.0,2.0,1.0,10.0,0.0,Lunch,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Brown Rice (1 cup cooked),Grain,215.0,5.0,45.0,1.8,3.5,0.4,10.0,0.0,Lunch,0.0,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'high_glycemic', 'highCarb', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'noAddedSugar', 'pcosTrigger', 'highCarb', 'highGlycemic', 'wholeFood']"
Bell Pepper (1 medium red),Vegetable,31.0,1.2,6.0,0.3,2.1,4.2,4.0,0.0,Lunch,0.0,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Hummus (2 tbsp),Legume,70.0,2.0,4.0,5.0,2.0,0.0,130.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Pita Bread (1 whole wheat),Grain,170.0,6.0,35.0,1.5,5.0,2.0,320.0,0.0,Snack,0.0,"['highCarb', 'highFibre', 'gutFriendly', 'wholeFood', 'processed', 'glutenSensitive', 'pcosFriendly']",,,,"['highCarb', 'highFibre', 'gutFriendly', 'processed', 'glutenSensitive', 'pcosFriendly']"
Pork Chop (4oz grilled),Protein/Meat,220.0,30.0,0.0,10.0,0.0,0.0,70.0,85.0,Dinner,250.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mashed Potatoes (1 cup),Vegetable,230.0,4.0,35.0,8.0,3.0,2.0,350.0,15.0,Dinner,0.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'highGlycemic', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'highGlycemic', 'wholeFood']"
Corn (1 cup),Vegetable,132.0,4.7,30.0,1.8,3.6,8.9,2.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'highCarb', 'pcosFriendly']"
Soda (1 can Coke),Beverage,140.0,0.0,39.0,0.0,0.0,39.0,45.0,0.0,Snack,355.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Pretzels (1 oz),Grain/Processed,110.0,3.0,23.0,1.0,1.0,1.0,450.0,0.0,Snack,0.0,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowFibre', 'wholeFood', 'pcosFriendly']"
Cheddar Cheese (1 oz),Dairy,115.0,7.0,1.0,9.5,0.0,0.5,180.0,30.0,Snack,0.0,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'dairySensitive', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Caesar Salad (with chicken),Meal/Protein,470.0,30.0,15.0,30.0,3.0,3.0,890.0,75.0,Lunch,250.0,"['lowGlycemic', 'highProtein', 'wholeFood', 'pcosFriendly']",,,,"['lowGlycemic', 'highProtein', 'wholeFood', 'pcosFriendly']"
Orange Juice (1 cup),Beverage,112.0,1.7,25.8,0.5,0.7,20.8,2.0,0.0,Breakfast,240.0,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'lowFibre', 'sugary', 'wholeFood']"
Bacon (2 slices cooked),Protein/Meat,86.0,6.0,0.2,6.8,0.0,0.1,330.0,18.0,Breakfast,0.0,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Waffles (2 homemade),Grain,220.0,6.0,28.0,9.0,1.5,3.0,420.0,45.0,Breakfast,0.0,"['wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'lowFibre', 'pcosFriendly']"
Pear,Fruit,101.0,0.6,27.0,0.2,5.5,16.0,2.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']"
Chicken Breast (4oz roasted),Protein/Meat,185.0,35.0,0.0,4.0,0.0,0.0,80.0,95.0,Lunch,500.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Mixed Nuts (1/4 cup),Nut,200.0,6.0,8.0,18.0,3.0,2.0,1.0,0.0,Snack,0.0,"['lowGlycemic', 'wholeFood', 'pcosFriendly', 'lowCarb']",,,,"['lowGlycemic', 'wholeFood', 'pcosFriendly', 'lowCarb']"
Tilapia (4oz baked),Protein/Fish,110.0,22.0,0.0,2.5,0.0,0.0,50.0,50.0,Dinner,0.0,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'noAddedSugar', 'lowFibre', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Asparagus (1 cup steamed),Vegetable,40.0,4.3,7.4,0.4,3.6,3.5,4.0,0.0,Dinner,0.0,"['lowProtein', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'lowCarb', 'caffeine', 'wholeFood', 'pcosFriendly']"
Sweet Potato (1 medium baked),Vegetable,103.0,2.3,23.6,0.2,3.8,7.4,41.0,0.0,Dinner,0.0,"['lowProtein', 'wholeFood', 'pcosTrigger', 'highGlycemic']",,,,"['lowProtein', 'wholeFood', 'pcosTrigger', 'highGlycemic']"
Popcorn (3 cups air-popped),Grain,93.0,3.0,18.6,1.1,3.6,0.1,2.0,0.0,Snack,250.0,"['lowProtein', 'wholeFood', 'pcosFriendly', 'noAddedSugar']",,,,"['lowProtein', 'wholeFood', 'pcosFriendly', 'noAddedSugar']"
Raisins (1/4 cup),Fruit,130.0,1.3,34.0,0.2,1.6,25.0,5.0,0.0,Snack,0.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'wholeFood']"
Macaroni & Cheese (1 cup),Meal/Pasta,350.0,10.0,40.0,17.0,2.0,5.0,750.0,40.0,Lunch,250.0,"['highCarb', 'lowFibre', 'dairySensitive', 'wholeFood', 'pcosFriendly']",,,,"['highCarb', 'lowFibre', 'dairySensitive', 'wholeFood', 'pcosFriendly']"
Tomato Soup (1 can),Meal/Vegetable,170.0,4.0,25.0,6.0,4.0,15.0,900.0,10.0,Lunch,0.0,"['lowProtein', 'pcosTrigger', 'sugary', 'gutFriendly', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'sugary', 'gutFriendly', 'wholeFood']"
Grilled Cheese Sandwich,Meal/Processed,390.0,15.0,32.0,22.0,3.0,4.0,800.0,60.0,Lunch,0.0,"['highProtein', 'highCarb', 'dairySensitive', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'dairySensitive', 'wholeFood', 'pcosFriendly']"
Beef Tacos (2 hard shell),Meal/Meat,380.0,18.0,28.0,22.0,5.0,3.0,600.0,50.0,Dinner,500.0,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
Refried Beans (1/2 cup),Legume,115.0,7.0,19.0,1.0,6.0,1.0,480.0,0.0,Dinner,0.0,"['noAddedSugar', 'proInflammatory', 'gasForming', 'highFibre', 'gutFriendly', 'wholeFood', 'pcosFriendly', 'ultraProcessed']",,,,"['noAddedSugar', 'proInflammatory', 'gasForming', 'highFibre', 'gutFriendly', 'pcosFriendly', 'ultraProcessed']"
Guacamole (1/4 cup),Vegetable/Condiment,90.0,1.0,4.0,8.0,3.0,0.5,120.0,0.0,Dinner,0.0,"['lowProtein', 'noAddedSugar', 'lowCarb', 'wholeFood', 'pcosFriendly']",,,,"['lowProtein', 'noAddedSugar', 'lowCarb', 'wholeFood', 'pcosFriendly']"
Watermelon (1 cup diced),Fruit,46.0,0.9,11.5,0.2,0.6,9.4,2.0,0.0,Snack,0.0,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['lowProtein', 'wholeFood', 'lowFibre', 'pcosFriendly']"
English Muffin (whole wheat),Grain,134.0,6.0,26.0,1.0,4.4,1.0,210.0,0.0,Breakfast,250.0,"['noAddedSugar', 'glutenSensitive', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['noAddedSugar', 'gutFriendly', 'wholeFood', 'glutenSensitive', 'pcosFriendly']"
Peanut Butter & Jelly Sandwich,Meal/Processed,390.0,12.0,50.0,17.0,5.0,20.0,450.0,0.0,Lunch,250.0,"['pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']",,,,"['pcosTrigger', 'highCarb', 'sugary', 'highFibre', 'gutFriendly', 'wholeFood']"
Clam Chowder (1 cup),Meal/Seafood,200.0,10.0,18.0,9.0,1.0,2.0,870.0,30.0,Lunch,0.0,"['wholeFood', 'lowFibre', 'pcosFriendly']",,,,"['wholeFood', 'lowFibre', 'pcosFriendly']"
Iced Tea (Sweetened 16oz),Beverage,180.0,0.0,46.0,0.0,0.0,46.0,15.0,0.0,Snack,500.0,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'wholeFood']",,,,"['lowProtein', 'pcosTrigger', 'highCarb', 'lowFibre', 'sugary', 'caffeine', 'wholeFood']"
Lasagna (1 serving meat),Meal/Pasta,350.0,20.0,30.0,17.0,4.0,7.0,850.0,55.0,Dinner,250.0,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']",,,,"['highProtein', 'highCarb', 'gutFriendly', 'wholeFood', 'pcosFriendly']"
